weight,Height
44.26,176.1
60.19,163.0
44.96,161.51
34.43,160.95
31.93,157.96
45.37,169.06
65.61,152.62
69.67,183.29
50.97,168.31
66.58,174.08
57.78,162.26
40.54,157.12
65.17,156.61
30.97,182.77
44.86,181.01
62.39,165.83
50.68,175.67
37.92,178.43
46.14,145.38
50.7,170.87
62.22,163.79
55.08,180.35
33.2,184.31
66.92,177.2
33.63,158.91
39.73,160.15
47.3,184.08
69.0,149.43
58.74,142.79
60.28,178.14
44.88,156.25
65.53,152.19
68.23,167.28
41.6,155.13
67.72,151.25
58.16,159.55
50.01,151.03
40.45,176.87
39.83,153.2
68.15,173.88
68.94,167.8
42.96,151.31
44.92,162.27
63.77,166.57
69.78,179.45
39.71,172.07
44.95,173.22
45.2,164.38
65.78,180.84
60.45,158.58
46.86,156.98
33.48,177.74
66.55,177.88
63.7,166.53
42.53,174.79
30.52,165.25
68.78,152.41
56.56,143.82
68.5,155.73
49.45,180.0
59.78,153.75
46.33,147.63
69.36,142.96
69.97,159.84
32.23,143.37
60.08,142.97
63.17,153.07
69.87,183.48
57.05,170.86
49.77,163.48
46.12,158.4
49.31,170.25
34.2,153.02
61.0,178.05
38.99,164.36
49.48,165.52
34.23,182.31
34.31,171.84
30.65,173.53
48.31,153.08
44.89,169.96
39.22,182.83
68.64,152.84
51.91,177.36
67.62,177.97
65.45,179.06
44.45,140.04
42.48,176.17
67.82,184.7
37.66,143.8
48.21,146.5
54.3,177.8
65.58,168.1
54.63,184.38
52.82,148.63
64.33,152.01
50.7,161.74
48.56,175.03
32.31,155.95
30.27,147.32
